属性名称,缩写,全称,数据类型,描述,重置是否需要清除,id,类别,权限,处理方,备注,组件,父记录
jdef,jdef,jog default,int,点动默认状态,无需处理,91,配置类,"读, 写",设备,,开关,
jtm,jtm,jog time,int,点动持续时间,无需处理,92,配置类,"读, 写",设备,,开关,
open_type,open_type,open type,int,开启方向,保留,93,配置类,"读, 写",设备,,"窗帘,梦幻帘",
miln,miln,mi linked,int,"mi linked, Yeelight Pro mesh网关是否绑定米家标志",清除,95,配置类,读,网关,,米家组件,
miid,miid,mi did,string,"mi did, Yeelight Pro mesh 网关在米家的 did",清除,96,配置类,写,网关,,米家组件,
mibk,mibk,mi bind key,string,"mi bind key, Yeelight Pro mesh 网关在米家的 bind key",清除,97,配置类,写,网关,,米家组件,
micd,micd,mi country domain,string,"mi country domain, Yeelight Pro mesh 网关在米家的 country domain",清除,98,配置类,"读, 写",网关,,米家组件,
midk,midk,mi device key,string,"mi device key, Yeelight Pro mesh 网关的在米家的device key",清除,99,配置类,写,网关,,米家组件,
ntScreenMode,ntScreenMode,night screen mode,int,屏保模式,保留,103,配置类,"读, 写",设备,,"wifi屏组件,旋钮屏组件,mesh屏组件",
mp,mp,mutex power,int,互斥锁,保留,104,配置类,"读, 写",设备,,双路继电器组件,
mp_keys,mp_keys,multi-panel keys,jsonObj,多功能屏的情景按键配置信息,保留,108,配置类,"读, 写",设备,,"旋钮屏组件,mesh屏组件",
mp_buttons,mp_buttons,multi-panel buttons,jsonObj,多功能屏的主屏快捷键配置信息,保留,109,配置类,"读, 写",设备,,"旋钮屏组件,mesh屏组件",
mp_devices,mp_devices,multi-panel devices,jsonObj,多功能屏中投射的子设备配置信息,保留,110,配置类,"读, 写",设备,,"旋钮屏组件,mesh屏组件",
mp_nightMode,mp_nightmode,multi-panel night mode,jsonObj,多功能屏-复杂逻辑使用,保留,111,配置类,"读, 写",设备,,"旋钮屏组件,mesh屏组件",
component_num_config,c_n_c,component num config,int,组件数目设置,保留,112,配置类,"读, 写",,,基础组件,
mei_login,mei_login,mei login,int,当前网关是否已登录到美的云,清除,174,配置类,"读, 写",网关,,美的组件,
meiln,meiln,mei linked,int,当前网关是否已入网绑定到美的云,清除,178,配置类,读,网关,,美的组件,
mei_info,mei_info,mei info,string,美的设备身份信息,清除,179,配置类,"读, 写",网关,,美的组件,
meibk,meibk,mei bind key,string,bindkey,清除,180,配置类,"读, 写",网关,,美的组件,
